gene	Endothelial.cells	Alveolar.Luminal	Basal.Myoepithelial	Pericytes	Fibroblasts	Prolif.Fibroblasts	Luminal.progenitor	Luminal.mature
Zfp729b	0.11177846166946966	0.010731034707972468	0.13454606661799084	0.10004584872662314	0.1122520731700505	0.04976229052241158	0.13798175802171067	0.1753990071958586
Zfp729a	0.13895944521943027	0.013569363342994842	0.13296192297889692	0.13154970448130704	0.08215685351410115	0.13543137169254607	0.12145083752367312	0.19657353823913756
Gm48095	0	0	0	0	0	0	0	0
Zfp738	0.14622790880613654	0.015246078229696721	0.14653568370870074	0.1214284439444708	0.08990484603622578	0.05846839606428388	0.1409180161927645	0.14188001977427322
Zfp65	0.0985302385563893	0.008418392385889522	0.10789875536841458	0.08692618371268039	0.07920924531541815	0.036315641121779735	0.12188267995046656	0.1590810320342668
Zfp85os	0.010185678040317551	0.0002062180360926384	0	0	0.004254956943266302	0	0.0067162828081176705	0.024085463101044875
Zfp85	0.042812694250120055	0.0011910198045366424	0.022122809890186244	0.05620268197476103	0.014242523260846093	0	0.008175136002929177	0.02347730263948749
Zfp493	0.005778134094606794	0.00040942703553665253	0.027997993399227403	0	0.010781652663289544	0	0.004930365800793505	0.016916445929235104
4930525G20Rik	0.0009342257590413278	0.00012371543561501337	0.002977483351629588	0.011001780634329644	0.0032600415239871327	0.026135935050620448	0.0022556347815955156	0
Zfp273	0.02710176003716094	0.004644021485606829	0.0287872631382999	0.008710449612226615	0.008330519510625712	0	0.014134891221864334	0.0146688792214125
Gm10037	0.013746424152371593	0.0041054617942880975	0.02387187915852652	0	0.007571473062400159	0.010921055488201431	0.002778370997155024	0
BC048507	0	0	0	0	0	0	0	0
Gm7969	0	0	0	0	0	0	0	0
Gm48419	0	0	0	0	0	0	0	0
Gm48423	0	0	0	0	0	0	0	0
Gm8016	0	0	0	0	0	0	0	0
Gm48436	0	0	0	0	0	0	0	0
Mtrr	0.032961112231605506	0.012696349299537205	0.016782225472550073	0.11471854180542183	0.03480607959157344	0.020473496279112546	0.036845598045796055	0.029503799223056258
Fastkd3	0.05723370046395058	0.005130149988688702	0.03967630862968466	0.04335620529026938	0.03314665092089102	0.01662812118880287	0.030342328714107338	0.04410623003749408
Gm48556	0	0	0	0	0	0	0	0
1700001L19Rik	0.0004011748991176711	0.000437034331185772	0	0.002044545959079227	0.0009178487508472914	0	0.0006793064826648151	0
Adcy2	0.002552263459342324	0.03594255173320711	0.005073160971824269	0.012601339561721945	0.6223434480620257	0.5739402609203269	0.04688213574920734	0.004534895036995205
Gm35161	0	0.0001123183475144353	0	0	0.002669452552800064	0	0	0
Gm26844	0	0	0	0	0	0	0	0
Gm35514	0	0	0	0	0	0	0	0
Tent4a	0.10887069740954682	0.019437678637634657	0.11774122672258001	0.13364360441526296	0.2208238508894845	0.4390243433138249	0.06606732195143902	0.08131058148518967
Nsun2	0.2328677033804696	0.056694813128298785	0.275921452038358	0.21167289906950698	0.2844741224922304	0.31254091437732023	0.36162647893249605	0.4293987294874587
A530095I07Rik	0	0	0	0	0.005049355397230088	0.008296694879185478	0	0
Srd5a1	0.01746922450423989	0.010074270622143874	0.03709102853849726	0.016999430880068913	0.027943845767106325	0.06882055751592053	0.013312928962151796	0.18228306824692145
Gm17108	0	0.00010766187634689398	0	0.004922377036271815	0.001184933846077306	0	0.0007901890320368874	0.007903945443589458
Gm35618	0	0	0	0	0	0	0	0
Gm48819	0	0	0	0	0	0	0	0
Ube2ql1	0	0	0	0	0.0017187374735525218	0	0.0006457843622866532	0
4930547H16Rik	0	0	0	0	0	0	0	0
Med10	0.43980437533331745	0.10282189992667536	0.3715214642426475	0.4554218109217786	0.38957975969779257	0.5716361705478098	0.49452935527965275	0.36436615068880146
4933416O17Rik	0	0	0	0	0	0	0	0
1700084F23Rik	0	0.00033700137942906994	0	0	0.0009969447113089003	0	0.00038683532586386874	0.005023335116187968
Gm3772	0	0	0	0	0.0018862245086446654	0	0	0
AU017674	0	0	0	0	0	0	0	0
4930520P13Rik	0	0	0	0	0	0	0	0
Ice1	0.46857230325045335	0.03172392733261417	0.3771100213810768	0.519900364768569	0.34308187539004836	0.3618284421545684	0.2752329099161595	0.29531823529404927
1700100L14Rik	0	0	0	0	0	0	0	0
D030007L05Rik	0.005025347563042776	0	0	0	0	0	0	0
Gm36377	0	0	0	0	0.0002772219111219151	0.010466018541136199	0	0
Gm36426	0	0.0003462588307315232	0	0	0	0	0.0016391069736244796	0
Gm36607	0	0	0	0	0.0012556325843427936	0	0	0
Adamts16	0	0	0	0.0051660639017848085	0.20287126857540386	0.12034244787470484	0.0009683170685224987	0
Gm36529	0	0	0	0	0.008936655910849599	0.016942296274932017	0	0
8030423J24Rik	0	0	0	0	0	0	0	0
1700112M02Rik	0	0.00011885571955379923	0	0	0	0	0	0
Gm40999	0	0.0011680286443115843	0.17881139023913087	0.0030861268789880193	0.020335971758864035	0.07849882753190199	0.4351276193245164	0.07609786007575521
Irx1	0.03904252955167485	0.18105241372831962	0.940646530500835	0.009595047889532665	0.10139705503313068	0.27493838489895167	1.8510169978045097	0.5345875343092894
Gm20554	0.014423810320503246	0.06443970748777612	0.06283072231354714	0	0.0075271922270041414	0.005621691203354695	0.24267058213502138	0.042567659491411745
Irx2	0.3028942446749221	0.8766200902059573	1.1711708176414766	0.22714141644450123	0.09250349055752922	0.1681714018723001	1.5440833315343565	0.8238903936576865
Gm47902	0	0.005371881629784959	0.003121904200768648	0	0	0	0.0016228653596492898	0.030810381177519414
D730050B12Rik	0.003333939729208128	0.042186427591345936	0	0	0	0	0.012061943891527555	0
Irx4	0	0	0.5144699332635932	0.00563438658182201	0	0	0.00024923538886800886	0.009407637146713605
Ndufs6	0.4975623599182751	0.41417523548037166	0.6908102455687997	0.5131820052050255	0.420899979690859	0.5194427383017602	0.7000742663202612	0.8166599896819354
Mrpl36	0.3135123226921109	0.15167889327082199	0.4184593936586	0.430142152044218	0.3298184859120372	0.27248343811481507	0.4400480082453555	0.4242446359191613
Eprn	0	0	0.032559726541499676	0	0	0	0.001421786917231495	0
Lpcat1	0.29435564534399966	0.003408235011343276	0.13650691804745418	0.2685915931918909	0.1666264433121205	0.2311855244460718	0.3316320229194313	0.08658494659441412
Slc6a3	0	0	0	0	0	0	0.00031099292147744877	0
Clptm1l	0.507083351155497	0.27798040600546076	0.4490909866485548	0.44810252978277576	0.6201169195088189	0.4821918503046532	0.6262427894569152	0.7256730764527795
Tert	0.0022366146543136237	0.0003036310073367438	0.03197740913865719	0.009950356749620913	0.020833441898002233	0	0.02372515115686045	0.06884089049392211
Slc6a18	0	0	0	0	0	0	0.0037523916511931696	0
Slc6a19	0	0.0003342752231082884	0	0	0	0	0.007651313341565271	0
Slc6a19os	0	0	0	0	0	0	0	0
Slc12a7	0.537948018746069	0.006298414339775053	0.04035771484712168	0.261281347601938	0.011793847853577996	0.10257535597114038	0.08965041454762952	0.19108453772517076
Nkd2	0.002436155118217579	0	0.008947438676599986	0.021027508618954978	0.051524901026180576	0.023560922764651576	0.018268325389756448	0.004585220311694278
Trip13	0.00637946462254223	0.0030985090693839198	0.04593211424868074	0.008880685308276137	0.014669435121898966	0.4204461007614854	0.017640832539859857	0.01439013856073461
Brd9	0.3384153951394811	0.026106842793194494	0.22212285184989503	0.2481599910455007	0.2179719605419477	0.384762892498197	0.19094121900961078	0.31340701782804237
Gm41002	0	0	0	0	0	0	0	0
Zdhhc11	0	0	0	0	0	0	0	0
Gm15912	0.024740922411512555	0.000801857156174393	0.0563627926720813	0.01165046805179664	0.001088744721183672	0.012833011771941152	0.0022479050728341403	0.04723794873010898
Tppp	0.08617498855777285	0.0004422660804475618	0.10364158327734689	0.06073083541429225	0.00718500275284246	0	0.008363264756782429	0.06221550266747244
Cep72	0.020469274417165045	0.0003294867995048627	0.02739465098356903	0.011925237789844327	0.005694137272486925	0.05727255885796314	0.003150436113707139	0.05202127242627173
Slc9a3	0	0	0	0	0.0006714824494879231	0	0	0
Exoc3	0.5650762185293403	0.12431268394111697	0.5829600113596045	0.5917543951547817	0.5336769055221666	0.6123670439327551	0.4937625031493925	0.5681760146770467
Ahrr	0.004645445477243455	0.0004562583927713537	0	0.005174934973225693	0.002442763700172113	0	0.00030565383159927904	0
Pdcd6	0.5867256548018532	0.24444277656230118	0.5139567607698814	0.6502537307339171	0.6409721249694427	0.7270926155498726	0.6336953456900443	0.7363882633328401
Sdha	0.5637528905974954	0.11287009641815045	0.5175870461372474	0.6256110635841566	0.463850175743516	0.5014150173854937	0.4845306000832073	0.5630792893687007
